start	end	type	var
4	5	IS_AST_PARENT	
4	6	IS_AST_PARENT	
4	7	IS_AST_PARENT	
4	8	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	16	IS_AST_PARENT	
13	14	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
13	17	IS_AST_PARENT	
4	13	IS_AST_PARENT	
21	22	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
21	23	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
30	34	IS_AST_PARENT	
29	30	IS_AST_PARENT	
28	29	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
35	36	IS_AST_PARENT	
41	42	IS_AST_PARENT	
41	43	IS_AST_PARENT	
40	41	IS_AST_PARENT	
35	40	IS_AST_PARENT	
52	53	IS_AST_PARENT	
51	52	IS_AST_PARENT	
56	57	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
56	58	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
61	62	IS_AST_PARENT	
54	61	IS_AST_PARENT	
63	64	IS_AST_PARENT	
54	63	IS_AST_PARENT	
51	54	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	65	IS_AST_PARENT	
49	50	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	70	IS_AST_PARENT	
49	66	IS_AST_PARENT	
48	49	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
78	79	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
78	80	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
83	84	IS_AST_PARENT	
76	83	IS_AST_PARENT	
85	86	IS_AST_PARENT	
76	85	IS_AST_PARENT	
73	76	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	87	IS_AST_PARENT	
71	72	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
88	89	IS_AST_PARENT	
88	92	IS_AST_PARENT	
71	88	IS_AST_PARENT	
48	71	IS_AST_PARENT	
47	48	IS_AST_PARENT	
95	96	IS_AST_PARENT	
95	97	IS_AST_PARENT	
94	95	IS_AST_PARENT	
94	98	IS_AST_PARENT	
93	94	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	103	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	104	IS_AST_PARENT	
99	100	IS_AST_PARENT	
105	106	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	111	IS_AST_PARENT	
105	107	IS_AST_PARENT	
99	105	IS_AST_PARENT	
93	99	IS_AST_PARENT	
47	93	IS_AST_PARENT	
46	47	IS_AST_PARENT	
114	115	IS_AST_PARENT	
114	116	IS_AST_PARENT	
113	114	IS_AST_PARENT	
113	117	IS_AST_PARENT	
112	113	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
126	127	IS_AST_PARENT	
128	129	IS_AST_PARENT	
128	130	IS_AST_PARENT	
126	128	IS_AST_PARENT	
125	126	IS_AST_PARENT	
124	125	IS_AST_PARENT	
131	132	IS_AST_PARENT	
124	131	IS_AST_PARENT	
133	134	IS_AST_PARENT	
124	133	IS_AST_PARENT	
121	124	IS_AST_PARENT	
120	121	IS_AST_PARENT	
120	135	IS_AST_PARENT	
119	120	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	140	IS_AST_PARENT	
119	136	IS_AST_PARENT	
118	119	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
148	149	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	152	IS_AST_PARENT	
148	150	IS_AST_PARENT	
147	148	IS_AST_PARENT	
146	147	IS_AST_PARENT	
153	154	IS_AST_PARENT	
146	153	IS_AST_PARENT	
155	156	IS_AST_PARENT	
146	155	IS_AST_PARENT	
143	146	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	157	IS_AST_PARENT	
141	142	IS_AST_PARENT	
159	160	IS_AST_PARENT	
159	161	IS_AST_PARENT	
158	159	IS_AST_PARENT	
158	162	IS_AST_PARENT	
141	158	IS_AST_PARENT	
118	141	IS_AST_PARENT	
112	118	IS_AST_PARENT	
46	112	IS_AST_PARENT	
45	46	IS_AST_PARENT	
44	45	IS_AST_PARENT	
165	166	IS_AST_PARENT	
170	171	IS_AST_PARENT	
170	172	IS_AST_PARENT	
169	170	IS_AST_PARENT	
174	175	IS_AST_PARENT	
174	176	IS_AST_PARENT	
173	174	IS_AST_PARENT	
173	177	IS_AST_PARENT	
169	173	IS_AST_PARENT	
168	169	IS_AST_PARENT	
167	168	IS_AST_PARENT	
180	181	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
184	188	IS_AST_PARENT	
183	184	IS_AST_PARENT	
190	191	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
194	195	IS_AST_PARENT	
194	196	IS_AST_PARENT	
193	194	IS_AST_PARENT	
193	197	IS_AST_PARENT	
189	193	IS_AST_PARENT	
183	189	IS_AST_PARENT	
182	183	IS_AST_PARENT	
199	200	IS_AST_PARENT	
199	201	IS_AST_PARENT	
198	199	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	205	IS_AST_PARENT	
202	203	IS_AST_PARENT	
207	208	IS_AST_PARENT	
209	210	IS_AST_PARENT	
209	211	IS_AST_PARENT	
207	209	IS_AST_PARENT	
206	207	IS_AST_PARENT	
206	212	IS_AST_PARENT	
202	206	IS_AST_PARENT	
198	202	IS_AST_PARENT	
182	198	IS_AST_PARENT	
180	182	IS_AST_PARENT	
179	180	IS_AST_PARENT	
178	179	IS_AST_PARENT	
178	213	IS_AST_PARENT	
214	215	IS_AST_PARENT	
214	216	IS_AST_PARENT	
178	214	IS_AST_PARENT	
167	178	IS_AST_PARENT	
167	217	IS_AST_PARENT	
165	167	IS_AST_PARENT	
164	165	IS_AST_PARENT	
163	164	IS_AST_PARENT	
221	222	IS_AST_PARENT	
221	223	IS_AST_PARENT	
220	221	IS_AST_PARENT	
224	225	IS_AST_PARENT	
226	227	IS_AST_PARENT	
228	229	IS_AST_PARENT	
228	230	IS_AST_PARENT	
226	228	IS_AST_PARENT	
224	226	IS_AST_PARENT	
220	224	IS_AST_PARENT	
219	220	IS_AST_PARENT	
218	219	IS_AST_PARENT	
233	234	IS_AST_PARENT	
236	237	IS_AST_PARENT	
235	236	IS_AST_PARENT	
239	240	IS_AST_PARENT	
