command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260804_085143_code_all_input_sources/runs/baseline/cvefixes__03_fixed_KPasswordDlg_keyPressed/_work/source/03_fixed_KPasswordDlg_keyPressed.c								
ANR	2	Function	KPasswordDlg :: keyPressed	1:0:0:857							
ANR	3	FunctionDef	KPasswordDlg :: keyPressed (QKeyEvent * e)		2	0					
ANR	4	CompoundStatement		2:0:46:857	2	0					
ANR	5	Statement	static	3:2:50:55	2	0	True				
ANR	6	IdentifierDeclStatement	bool waitForAuthentication = false ;	3:9:57:91	2	1	True				
ANR	7	IdentifierDecl	waitForAuthentication = false		2	0					
ANR	8	IdentifierDeclType	bool		2	0					
ANR	9	Identifier	waitForAuthentication		2	1					
ANR	10	AssignmentExpression	waitForAuthentication = false		2	2		=			
ANR	11	Identifier	false		2	0					
ANR	12	Identifier	false		2	1					
ANR	13	IfStatement	if ( ! waitForAuthentication )		2	2					
ANR	14	Condition	! waitForAuthentication	4:6:99:120	2	0	True				
ANR	15	UnaryOperationExpression	! waitForAuthentication		2	0					
ANR	16	UnaryOperator	!		2	0					
ANR	17	Identifier	waitForAuthentication		2	1					
ANR	18	CompoundStatement		3:30:76:76	2	1					
ANR	19	SwitchStatement	switch ( e -> key ( ) )		2	0					
ANR	20	Condition	e -> key ( )	5:10:135:142	2	0	True				
ANR	21	CallExpression	e -> key ( )		2	0					
ANR	22	Callee	e -> key		2	0					
ANR	23	PtrMemberAccess	e -> key		2	0					
ANR	24	Identifier	e		2	0					
ANR	25	Identifier	key		2	1					
ANR	26	ArgumentList			2	1					
ANR	27	CompoundStatement		33:3:599:616	2	1					
ANR	28	Label	case Key_Backspace :	7:2:151:169	2	0	True				
ANR	29	Identifier	Key_Backspace		2	0					
ANR	30	CompoundStatement		8:4:133:160	2	1					
ANR	31	IdentifierDeclStatement	int len = password . length ( ) ;	9:4:180:207	2	0	True				
ANR	32	IdentifierDecl	len = password . length ( )		2	0					
ANR	33	IdentifierDeclType	int		2	0					
ANR	34	Identifier	len		2	1					
ANR	35	AssignmentExpression	len = password . length ( )		2	2		=			
ANR	36	Identifier	len		2	0					
ANR	37	CallExpression	password . length ( )		2	1					
ANR	38	Callee	password . length		2	0					
ANR	39	MemberAccess	password . length		2	0					
ANR	40	Identifier	password		2	0					
ANR	41	Identifier	length		2	1					
ANR	42	ArgumentList			2	1					
ANR	43	IfStatement	if ( len )		2	1					
ANR	44	Condition	len	10:9:218:220	2	0	True				
ANR	45	Identifier	len		2	0					
ANR	46	CompoundStatement		9:15:177:177	2	1					
ANR	47	ExpressionStatement	password . truncate ( len - 1 )	11:5:231:259	2	0	True				
ANR	48	CallExpression	password . truncate ( len - 1 )		2	0					
ANR	49	Callee	password . truncate		2	0					
ANR	50	MemberAccess	password . truncate		2	0					
ANR	51	Identifier	password		2	0					
ANR	52	Identifier	truncate		2	1					
ANR	53	ArgumentList	len - 1		2	1					
ANR	54	Argument	len - 1		2	0					
ANR	55	AdditiveExpression	len - 1		2	0		-			
ANR	56	Identifier	len		2	0					
ANR	57	PrimaryExpression	1		2	1					
ANR	58	IfStatement	if ( stars )		2	1					
ANR	59	Condition	stars	12:9:270:274	2	0	True				
ANR	60	Identifier	stars		2	0					
ANR	61	ExpressionStatement	showStars ( )	13:6:284:295	2	1	True				
ANR	62	CallExpression	showStars ( )		2	0					
ANR	63	Callee	showStars		2	0					
ANR	64	Identifier	showStars		2	0					
ANR	65	ArgumentList			2	1					
ANR	66	BreakStatement	break ;	16:3:311:316	2	2	True				
ANR	67	Label	case Key_Return :	18:2:321:336	2	3	True				
ANR	68	Identifier	Key_Return		2	0					
ANR	69	ExpressionStatement	timer . stop ( )	19:12:350:362	2	4	True				
ANR	70	CallExpression	timer . stop ( )		2	0					
ANR	71	Callee	timer . stop		2	0					
ANR	72	MemberAccess	timer . stop		2	0					
ANR	73	Identifier	timer		2	0					
ANR	74	Identifier	stop		2	1					
ANR	75	ArgumentList			2	1					
ANR	76	ExpressionStatement	waitForAuthentication = true	20:3:367:395	2	5	True				
ANR	77	AssignmentExpression	waitForAuthentication = true		2	0		=			
ANR	78	Identifier	waitForAuthentication		2	0					
ANR	79	Identifier	true		2	1					
ANR	80	IfStatement	if ( tryPassword ( ) )		2	6					
ANR	81	Condition	tryPassword ( )	21:8:405:417	2	0	True				
ANR	82	CallExpression	tryPassword ( )		2	0					
ANR	83	Callee	tryPassword		2	0					
ANR	84	Identifier	tryPassword		2	0					
ANR	85	ArgumentList			2	1					
ANR	86	IdentifierDeclStatement	emit passOk ( ) ;	22:4:425:438	2	1	True				
ANR	87	IdentifierDecl	passOk ( )		2	0					
ANR	88	IdentifierDeclType	emit		2	0					
ANR	89	Identifier	passOk		2	1					
ANR	90	ElseStatement	else		2	0					
ANR	91	CompoundStatement		23:3:404:404	2	0					
ANR	92	ExpressionStatement	"label -> setText ( glocale -> translate ( ""Failed"" ) )"	25:4:457:503	2	0	True				
ANR	93	CallExpression	"label -> setText ( glocale -> translate ( ""Failed"" ) )"		2	0					
ANR	94	Callee	label -> setText		2	0					
ANR	95	PtrMemberAccess	label -> setText		2	0					
ANR	96	Identifier	label		2	0					
ANR	97	Identifier	setText		2	1					
ANR	98	ArgumentList	"glocale -> translate ( ""Failed"" )"		2	1					
ANR	99	Argument	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	100	CallExpression	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	101	Callee	glocale -> translate		2	0					
ANR	102	PtrMemberAccess	glocale -> translate		2	0					
ANR	103	Identifier	glocale		2	0					
ANR	104	Identifier	translate		2	1					
ANR	105	ArgumentList	"""Failed"""		2	1					
ANR	106	Argument	"""Failed"""		2	0					
ANR	107	PrimaryExpression	"""Failed"""		2	0					
ANR	108	ExpressionStatement	"password = """""	26:4:509:522	2	1	True				
ANR	109	AssignmentExpression	"password = """""		2	0		=			
ANR	110	Identifier	password		2	0					
ANR	111	PrimaryExpression	""""""		2	1					
ANR	112	ExpressionStatement	timerMode = 1	27:4:528:541	2	2	True				
ANR	113	AssignmentExpression	timerMode = 1		2	0		=			
ANR	114	Identifier	timerMode		2	0					
ANR	115	PrimaryExpression	1		2	1					
ANR	116	ExpressionStatement	"timer . start ( 1500 , TRUE )"	28:4:547:572	2	3	True				
ANR	117	CallExpression	"timer . start ( 1500 , TRUE )"		2	0					
ANR	118	Callee	timer . start		2	0					
ANR	119	MemberAccess	timer . start		2	0					
ANR	120	Identifier	timer		2	0					
ANR	121	Identifier	start		2	1					
ANR	122	ArgumentList	1500		2	1					
ANR	123	Argument	1500		2	0					
ANR	124	PrimaryExpression	1500		2	0					
ANR	125	Argument	TRUE		2	1					
ANR	126	Identifier	TRUE		2	0					
ANR	127	ExpressionStatement	waitForAuthentication = false	30:3:582:611	2	7	True				
ANR	128	AssignmentExpression	waitForAuthentication = false		2	0		=			
ANR	129	Identifier	waitForAuthentication		2	0					
ANR	130	Identifier	false		2	1					
ANR	131	BreakStatement	break ;	31:3:616:621	2	8	True				
ANR	132	Label	case Key_Escape :	33:2:626:641	2	9	True				
ANR	133	Identifier	Key_Escape		2	0					
ANR	134	IdentifierDeclStatement	emit passCancel ( ) ;	34:3:646:663	2	10	True				
ANR	135	IdentifierDecl	passCancel ( )		2	0					
ANR	136	IdentifierDeclType	emit		2	0					
ANR	137	Identifier	passCancel		2	1					
ANR	138	BreakStatement	break ;	35:3:668:673	2	11	True				
ANR	139	Label	default :	37:2:678:685	2	12	True				
ANR	140	Identifier	default		2	0					
ANR	141	IfStatement	if ( password . length ( ) < MAX_PASSWORD_LENGTH )		2	13					
ANR	142	Condition	password . length ( ) < MAX_PASSWORD_LENGTH	38:8:695:733	2	0	True				
ANR	143	RelationalExpression	password . length ( ) < MAX_PASSWORD_LENGTH		2	0		<			
ANR	144	CallExpression	password . length ( )		2	0					
ANR	145	Callee	password . length		2	0					
ANR	146	MemberAccess	password . length		2	0					
ANR	147	Identifier	password		2	0					
ANR	148	Identifier	length		2	1					
ANR	149	ArgumentList			2	1					
ANR	150	Identifier	MAX_PASSWORD_LENGTH		2	1					
ANR	151	CompoundStatement		38:3:693:693	2	1					
ANR	152	ExpressionStatement	password += ( char ) e -> ascii ( )	40:4:746:774	2	0	True				
ANR	153	AssignmentExpression	password += ( char ) e -> ascii ( )		2	0		+=			
ANR	154	Identifier	password		2	0					
ANR	155	CastExpression	( char ) e -> ascii ( )		2	1					
ANR	156	CastTarget	char		2	0					
ANR	157	CallExpression	e -> ascii ( )		2	1					
ANR	158	Callee	e -> ascii		2	0					
ANR	159	PtrMemberAccess	e -> ascii		2	0					
ANR	160	Identifier	e		2	0					
ANR	161	Identifier	ascii		2	1					
ANR	162	ArgumentList			2	1					
ANR	163	IfStatement	if ( stars )		2	1					
ANR	164	Condition	stars	41:8:784:788	2	0	True				
ANR	165	Identifier	stars		2	0					
ANR	166	ExpressionStatement	showStars ( )	42:5:797:808	2	1	True				
ANR	167	CallExpression	showStars ( )		2	0					
ANR	168	Callee	showStars		2	0					
ANR	169	Identifier	showStars		2	0					
ANR	170	ArgumentList			2	1					
ANR	171	ExpressionStatement	timer . changeInterval ( 10000 )	43:4:814:843	2	2	True				
ANR	172	CallExpression	timer . changeInterval ( 10000 )		2	0					
ANR	173	Callee	timer . changeInterval		2	0					
ANR	174	MemberAccess	timer . changeInterval		2	0					
ANR	175	Identifier	timer		2	0					
ANR	176	Identifier	changeInterval		2	1					
ANR	177	ArgumentList	10000		2	1					
ANR	178	Argument	10000		2	0					
ANR	179	PrimaryExpression	10000		2	0					
ANR	180	ReturnType	void		2	1					
ANR	181	Identifier	KPasswordDlg :: keyPressed		2	2					
ANR	182	ParameterList	QKeyEvent * e		2	3					
ANR	183	Parameter	QKeyEvent * e	1:31:31:42	2	0	True				
ANR	184	ParameterType	QKeyEvent *		2	0					
ANR	185	Identifier	e		2	1					
ANR	186	CFGEntryNode	ENTRY		2		True				
ANR	187	CFGExitNode	EXIT		2		True				
ANR	188	Symbol	timerMode		2						
ANR	189	Symbol	e		2						
ANR	190	Symbol	password . length		2						
ANR	191	Symbol	passOk		2						
ANR	192	Symbol	tryPassword		2						
ANR	193	Symbol	false		2						
ANR	194	Symbol	e -> key		2						
ANR	195	Symbol	TRUE		2						
ANR	196	Symbol	passCancel		2						
ANR	197	Symbol	glocale -> translate		2						
ANR	198	Symbol	stars		2						
ANR	199	Symbol	label		2						
ANR	200	Symbol	* e		2						
ANR	201	Symbol	timer		2						
ANR	202	Symbol	waitForAuthentication		2						
ANR	203	Symbol	password		2						
ANR	204	Symbol	len		2						
ANR	205	Symbol	glocale		2						
ANR	206	Symbol	true		2						
ANR	207	Symbol	e -> ascii		2						
ANR	208	Symbol	* glocale		2						
ANR	209	Symbol	MAX_PASSWORD_LENGTH		2						
