command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260804_085143_code_all_input_sources/runs/perturbed/cvefixes__01_vulnerable_expand_dynamic_string_token__control_wrapper__c1/_work/source/cvefixes__01_vulnerable_expand_dynamic_string_token__control_wrapper__c1.c								
ANR	2	Function	expand_dynamic_string_token	1:0:0:854							
ANR	3	FunctionDef	"expand_dynamic_string_token (struct link_map * l , const char * s)"		2	0					
ANR	4	CompoundStatement		2:0:64:854	2	0					
ANR	5	IdentifierDeclStatement	size_t cnt ;	7:2:321:331	2	0	True				
ANR	6	IdentifierDecl	cnt		2	0					
ANR	7	IdentifierDeclType	size_t		2	0					
ANR	8	Identifier	cnt		2	1					
ANR	9	IdentifierDeclStatement	size_t total ;	8:2:335:347	2	1	True				
ANR	10	IdentifierDecl	total		2	0					
ANR	11	IdentifierDeclType	size_t		2	0					
ANR	12	Identifier	total		2	1					
ANR	13	IdentifierDeclStatement	char * result ;	9:2:351:363	2	2	True				
ANR	14	IdentifierDecl	* result		2	0					
ANR	15	IdentifierDeclType	char *		2	0					
ANR	16	Identifier	result		2	1					
ANR	17	IfStatement	if ( 1 )		2	3					
ANR	18	Condition	1	12:6:419:419	2	0	True				
ANR	19	PrimaryExpression	1		2	0					
ANR	20	CompoundStatement		11:9:357:357	2	1					
ANR	21	ExpressionStatement	"cnt = DL_DST_COUNT ( s , 1 )"	13:6:430:455	2	0	True				
ANR	22	AssignmentExpression	"cnt = DL_DST_COUNT ( s , 1 )"		2	0		=			
ANR	23	Identifier	cnt		2	0					
ANR	24	CallExpression	"DL_DST_COUNT ( s , 1 )"		2	1					
ANR	25	Callee	DL_DST_COUNT		2	0					
ANR	26	Identifier	DL_DST_COUNT		2	0					
ANR	27	ArgumentList	s		2	1					
ANR	28	Argument	s		2	0					
ANR	29	Identifier	s		2	0					
ANR	30	Argument	1		2	1					
ANR	31	PrimaryExpression	1		2	0					
ANR	32	IfStatement	if ( cnt == 0 )		2	4					
ANR	33	Condition	cnt == 0	17:6:539:546	2	0	True				
ANR	34	EqualityExpression	cnt == 0		2	0		==			
ANR	35	Identifier	cnt		2	0					
ANR	36	PrimaryExpression	0		2	1					
ANR	37	ReturnStatement	return local_strdup ( s ) ;	18:4:553:576	2	1	True				
ANR	38	CallExpression	local_strdup ( s )		2	0					
ANR	39	Callee	local_strdup		2	0					
ANR	40	Identifier	local_strdup		2	0					
ANR	41	ArgumentList	s		2	1					
ANR	42	Argument	s		2	0					
ANR	43	Identifier	s		2	0					
ANR	44	ExpressionStatement	"total = DL_DST_REQUIRED ( l , s , strlen ( s ) , cnt )"	21:2:638:685	2	5	True				
ANR	45	AssignmentExpression	"total = DL_DST_REQUIRED ( l , s , strlen ( s ) , cnt )"		2	0		=			
ANR	46	Identifier	total		2	0					
ANR	47	CallExpression	"DL_DST_REQUIRED ( l , s , strlen ( s ) , cnt )"		2	1					
ANR	48	Callee	DL_DST_REQUIRED		2	0					
ANR	49	Identifier	DL_DST_REQUIRED		2	0					
ANR	50	ArgumentList	l		2	1					
ANR	51	Argument	l		2	0					
ANR	52	Identifier	l		2	0					
ANR	53	Argument	s		2	1					
ANR	54	Identifier	s		2	0					
ANR	55	Argument	strlen ( s )		2	2					
ANR	56	CallExpression	strlen ( s )		2	0					
ANR	57	Callee	strlen		2	0					
ANR	58	Identifier	strlen		2	0					
ANR	59	ArgumentList	s		2	1					
ANR	60	Argument	s		2	0					
ANR	61	Identifier	s		2	0					
ANR	62	Argument	cnt		2	3					
ANR	63	Identifier	cnt		2	0					
ANR	64	ExpressionStatement	result = ( char * ) malloc ( total + 1 )	24:2:730:766	2	6	True				
ANR	65	AssignmentExpression	result = ( char * ) malloc ( total + 1 )		2	0		=			
ANR	66	Identifier	result		2	0					
ANR	67	CastExpression	( char * ) malloc ( total + 1 )		2	1					
ANR	68	CastTarget	char *		2	0					
ANR	69	CallExpression	malloc ( total + 1 )		2	1					
ANR	70	Callee	malloc		2	0					
ANR	71	Identifier	malloc		2	0					
ANR	72	ArgumentList	total + 1		2	1					
ANR	73	Argument	total + 1		2	0					
ANR	74	AdditiveExpression	total + 1		2	0		+			
ANR	75	Identifier	total		2	0					
ANR	76	PrimaryExpression	1		2	1					
ANR	77	IfStatement	if ( result == NULL )		2	7					
ANR	78	Condition	result == NULL	25:6:774:787	2	0	True				
ANR	79	EqualityExpression	result == NULL		2	0		==			
ANR	80	Identifier	result		2	0					
ANR	81	Identifier	NULL		2	1					
ANR	82	ReturnStatement	return NULL ;	26:4:794:805	2	1	True				
ANR	83	Identifier	NULL		2	0					
ANR	84	ReturnStatement	"return DL_DST_SUBSTITUTE ( l , s , result , 1 ) ;"	28:2:810:852	2	8	True				
ANR	85	CallExpression	"DL_DST_SUBSTITUTE ( l , s , result , 1 )"		2	0					
ANR	86	Callee	DL_DST_SUBSTITUTE		2	0					
ANR	87	Identifier	DL_DST_SUBSTITUTE		2	0					
ANR	88	ArgumentList	l		2	1					
ANR	89	Argument	l		2	0					
ANR	90	Identifier	l		2	0					
ANR	91	Argument	s		2	1					
ANR	92	Identifier	s		2	0					
ANR	93	Argument	result		2	2					
ANR	94	Identifier	result		2	0					
ANR	95	Argument	1		2	3					
ANR	96	PrimaryExpression	1		2	0					
ANR	97	Identifier	expand_dynamic_string_token		2	1					
ANR	98	ParameterList	"struct link_map * l , const char * s"		2	2					
ANR	99	Parameter	struct link_map * l	1:29:29:46	2	0	True				
ANR	100	ParameterType	struct link_map *		2	0					
ANR	101	Identifier	l		2	1					
ANR	102	Parameter	const char * s	1:49:49:61	2	1	True				
ANR	103	ParameterType	const char *		2	0					
ANR	104	Identifier	s		2	1					
ANR	105	CFGEntryNode	ENTRY		2		True				
ANR	106	CFGExitNode	EXIT		2		True				
ANR	107	Symbol	result		2						
ANR	108	Symbol	strlen		2						
ANR	109	Symbol	malloc		2						
ANR	110	Symbol	total		2						
ANR	111	Symbol	s		2						
ANR	112	Symbol	NULL		2						
ANR	113	Symbol	local_strdup		2						
ANR	114	Symbol	cnt		2						
ANR	115	Symbol	DL_DST_REQUIRED		2						
ANR	116	Symbol	l		2						
ANR	117	Symbol	DL_DST_COUNT		2						
ANR	118	Symbol	DL_DST_SUBSTITUTE		2						
