command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260804_085143_code_all_input_sources/runs/perturbed/cvefixes__02_fixed_dl_dst_substitute__data_flow_alias__c1/_work/source/cvefixes__02_fixed_dl_dst_substitute__data_flow_alias__c1.c								
ANR	2	Function	_dl_dst_substitute	1:0:0:2019							
ANR	3	FunctionDef	"_dl_dst_substitute (struct link_map * l , const char * name , char * result , int is_path)"		2	0					
ANR	4	CompoundStatement		3:0:91:2019	2	0					
ANR	5	Statement	const	4:2:95:99	2	0	True				
ANR	6	Statement	char	4:8:101:104	2	1	True				
ANR	7	Statement	*	4:13:106:106	2	2	True				
ANR	8	Statement	const	4:14:107:111	2	3	True				
ANR	9	ExpressionStatement	start = name	4:20:113:125	2	4	True				
ANR	10	AssignmentExpression	start = name		2	0		=			
ANR	11	Identifier	start		2	0					
ANR	12	Identifier	name		2	1					
ANR	13	IdentifierDeclStatement	"char * last_elem , * wp ;"	5:2:129:149	2	5	True				
ANR	14	IdentifierDecl	* last_elem		2	0					
ANR	15	IdentifierDeclType	char *		2	0					
ANR	16	Identifier	last_elem		2	1					
ANR	17	IdentifierDecl	* wp		2	1					
ANR	18	IdentifierDeclType	char *		2	0					
ANR	19	Identifier	wp		2	1					
ANR	20	ExpressionStatement	last_elem = wp = result	13:2:529:552	2	6	True				
ANR	21	AssignmentExpression	last_elem = wp = result		2	0		=			
ANR	22	Identifier	last_elem		2	0					
ANR	23	AssignmentExpression	wp = result		2	1		=			
ANR	24	Identifier	wp		2	0					
ANR	25	Identifier	result		2	1					
ANR	26	DoStatement	do		2	7					
ANR	27	CompoundStatement		14:4:472:472	2	0					
ANR	28	IfStatement	if ( * name == '$' )		2	0					
ANR	29	Condition	* name == '$'	17:10:576:587	2	0	True				
ANR	30	EqualityExpression	* name == '$'		2	0		==			
ANR	31	UnaryOperationExpression	* name		2	0					
ANR	32	UnaryOperator	*		2	0					
ANR	33	Identifier	name		2	1					
ANR	34	PrimaryExpression	'$'		2	1					
ANR	35	CompoundStatement		18:3:525:535	2	1					
ANR	36	IdentifierDeclStatement	const char * repl ;	19:3:596:612	2	0	True				
ANR	37	IdentifierDecl	* repl		2	0					
ANR	38	IdentifierDeclType	const char *		2	0					
ANR	39	Identifier	repl		2	1					
ANR	40	IdentifierDeclStatement	size_t len ;	20:3:617:627	2	1	True				
ANR	41	IdentifierDecl	len		2	0					
ANR	42	IdentifierDeclType	size_t		2	0					
ANR	43	Identifier	len		2	1					
ANR	44	IfStatement	"if ( ( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) ) )"		2	2					
ANR	45	Condition	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"	24:7:780:1165	2	0	True				
ANR	46	OrExpression	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"		2	0		||			
ANR	47	AndExpression	"( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) )"		2	0		&&			
ANR	48	OrExpression	"( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 )"		2	0		||			
ANR	49	AndExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0"		2	0		&&			
ANR	50	EqualityExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0"		2	0		==			
ANR	51	CallExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 )"		2	0					
ANR	52	Callee	strncmp		2	0					
ANR	53	Identifier	strncmp		2	0					
ANR	54	ArgumentList	& name [ 1 ]		2	1					
ANR	55	Argument	& name [ 1 ]		2	0					
ANR	56	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	57	UnaryOperator	&		2	0					
ANR	58	ArrayIndexing	name [ 1 ]		2	1					
ANR	59	Identifier	name		2	0					
ANR	60	PrimaryExpression	1		2	1					
ANR	61	Argument	"""ORIGIN}"""		2	1					
ANR	62	PrimaryExpression	"""ORIGIN}"""		2	0					
ANR	63	Argument	6		2	2					
ANR	64	PrimaryExpression	6		2	0					
ANR	65	PrimaryExpression	0		2	1					
ANR	66	EqualityExpression	( len = 7 ) != 0		2	1		!=			
ANR	67	AssignmentExpression	len = 7		2	0		=			
ANR	68	Identifier	len		2	0					
ANR	69	PrimaryExpression	7		2	1					
ANR	70	PrimaryExpression	0		2	1					
ANR	71	AndExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0"		2	1		&&			
ANR	72	EqualityExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0"		2	0		==			
ANR	73	CallExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 )"		2	0					
ANR	74	Callee	strncmp		2	0					
ANR	75	Identifier	strncmp		2	0					
ANR	76	ArgumentList	& name [ 1 ]		2	1					
ANR	77	Argument	& name [ 1 ]		2	0					
ANR	78	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	79	UnaryOperator	&		2	0					
ANR	80	ArrayIndexing	name [ 1 ]		2	1					
ANR	81	Identifier	name		2	0					
ANR	82	PrimaryExpression	1		2	1					
ANR	83	Argument	"""PLATFORM}"""		2	1					
ANR	84	PrimaryExpression	"""PLATFORM}"""		2	0					
ANR	85	Argument	8		2	2					
ANR	86	PrimaryExpression	8		2	0					
ANR	87	PrimaryExpression	0		2	1					
ANR	88	EqualityExpression	( len = 9 ) != 0		2	1		!=			
ANR	89	AssignmentExpression	len = 9		2	0		=			
ANR	90	Identifier	len		2	0					
ANR	91	PrimaryExpression	9		2	1					
ANR	92	PrimaryExpression	0		2	1					
ANR	93	OrExpression	name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	94	EqualityExpression	name [ len ] == '\\0'		2	0		==			
ANR	95	ArrayIndexing	name [ len ]		2	0					
ANR	96	Identifier	name		2	0					
ANR	97	Identifier	len		2	1					
ANR	98	PrimaryExpression	'\\0'		2	1					
ANR	99	OrExpression	name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	100	EqualityExpression	name [ len ] == '/'		2	0		==			
ANR	101	ArrayIndexing	name [ len ]		2	0					
ANR	102	Identifier	name		2	0					
ANR	103	Identifier	len		2	1					
ANR	104	PrimaryExpression	'/'		2	1					
ANR	105	AndExpression	is_path && name [ len ] == ':'		2	1		&&			
ANR	106	Identifier	is_path		2	0					
ANR	107	EqualityExpression	name [ len ] == ':'		2	1		==			
ANR	108	ArrayIndexing	name [ len ]		2	0					
ANR	109	Identifier	name		2	0					
ANR	110	Identifier	len		2	1					
ANR	111	PrimaryExpression	':'		2	1					
ANR	112	AndExpression	"name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) )"		2	1		&&			
ANR	113	EqualityExpression	name [ 1 ] == '{'		2	0		==			
ANR	114	ArrayIndexing	name [ 1 ]		2	0					
ANR	115	Identifier	name		2	0					
ANR	116	PrimaryExpression	1		2	1					
ANR	117	PrimaryExpression	'{'		2	1					
ANR	118	OrExpression	"( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 )"		2	1		||			
ANR	119	AndExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0"		2	0		&&			
ANR	120	EqualityExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0"		2	0		==			
ANR	121	CallExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 )"		2	0					
ANR	122	Callee	strncmp		2	0					
ANR	123	Identifier	strncmp		2	0					
ANR	124	ArgumentList	& name [ 2 ]		2	1					
ANR	125	Argument	& name [ 2 ]		2	0					
ANR	126	UnaryOperationExpression	& name [ 2 ]		2	0					
ANR	127	UnaryOperator	&		2	0					
ANR	128	ArrayIndexing	name [ 2 ]		2	1					
ANR	129	Identifier	name		2	0					
ANR	130	PrimaryExpression	2		2	1					
ANR	131	Argument	"""ORIGIN}"""		2	1					
ANR	132	PrimaryExpression	"""ORIGIN}"""		2	0					
ANR	133	Argument	7		2	2					
ANR	134	PrimaryExpression	7		2	0					
ANR	135	PrimaryExpression	0		2	1					
ANR	136	EqualityExpression	( len = 9 ) != 0		2	1		!=			
ANR	137	AssignmentExpression	len = 9		2	0		=			
ANR	138	Identifier	len		2	0					
ANR	139	PrimaryExpression	9		2	1					
ANR	140	PrimaryExpression	0		2	1					
ANR	141	AndExpression	"strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0"		2	1		&&			
ANR	142	EqualityExpression	"strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0"		2	0		==			
ANR	143	CallExpression	"strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 )"		2	0					
ANR	144	Callee	strncmp		2	0					
ANR	145	Identifier	strncmp		2	0					
ANR	146	ArgumentList	& name [ 2 ]		2	1					
ANR	147	Argument	& name [ 2 ]		2	0					
ANR	148	UnaryOperationExpression	& name [ 2 ]		2	0					
ANR	149	UnaryOperator	&		2	0					
ANR	150	ArrayIndexing	name [ 2 ]		2	1					
ANR	151	Identifier	name		2	0					
ANR	152	PrimaryExpression	2		2	1					
ANR	153	Argument	"""PLATFORM}"""		2	1					
ANR	154	PrimaryExpression	"""PLATFORM}"""		2	0					
ANR	155	Argument	9		2	2					
ANR	156	PrimaryExpression	9		2	0					
ANR	157	PrimaryExpression	0		2	1					
ANR	158	EqualityExpression	( len = 11 ) != 0		2	1		!=			
ANR	159	AssignmentExpression	len = 11		2	0		=			
ANR	160	Identifier	len		2	0					
ANR	161	PrimaryExpression	11		2	1					
ANR	162	PrimaryExpression	0		2	1					
ANR	163	CompoundStatement		30:5:1081:1081	2	1					
