start	end	type	var
8	9	IS_AST_PARENT	
7	8	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
7	10	IS_AST_PARENT	
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
19	22	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
17	25	IS_AST_PARENT	
14	17	IS_AST_PARENT	
13	14	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
34	35	IS_AST_PARENT	
33	34	IS_AST_PARENT	
36	37	IS_AST_PARENT	
33	36	IS_AST_PARENT	
38	39	IS_AST_PARENT	
33	38	IS_AST_PARENT	
41	42	IS_AST_PARENT	
41	43	IS_AST_PARENT	
40	41	IS_AST_PARENT	
33	40	IS_AST_PARENT	
30	33	IS_AST_PARENT	
29	30	IS_AST_PARENT	
13	29	IS_AST_PARENT	
13	44	IS_AST_PARENT	
5	13	IS_AST_PARENT	
4	5	IS_AST_PARENT	
4	45	IS_AST_PARENT	
4	46	IS_AST_PARENT	
4	47	IS_AST_PARENT	
4	48	IS_AST_PARENT	
4	49	IS_AST_PARENT	
4	50	IS_AST_PARENT	
4	51	IS_AST_PARENT	
4	52	IS_AST_PARENT	
4	53	IS_AST_PARENT	
4	54	IS_AST_PARENT	
4	55	IS_AST_PARENT	
4	56	IS_AST_PARENT	
4	57	IS_AST_PARENT	
4	58	IS_AST_PARENT	
4	59	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
67	68	IS_AST_PARENT	
64	67	IS_AST_PARENT	
69	70	IS_AST_PARENT	
64	69	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
4	60	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	71	IS_AST_PARENT	
3	72	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
73	74	IS_AST_PARENT	
3	73	IS_AST_PARENT	
77	74	FLOWS_TO	
74	6	FLOWS_TO	
6	15	FLOWS_TO	
6	45	FLOWS_TO	
15	18	FLOWS_TO	
15	29	FLOWS_TO	
18	25	FLOWS_TO	
25	29	FLOWS_TO	
29	44	FLOWS_TO	
44	78	FLOWS_TO	
45	46	FLOWS_TO	
46	47	FLOWS_TO	
47	48	FLOWS_TO	
48	49	FLOWS_TO	
49	50	FLOWS_TO	
50	51	FLOWS_TO	
51	52	FLOWS_TO	
52	53	FLOWS_TO	
53	54	FLOWS_TO	
54	55	FLOWS_TO	
55	56	FLOWS_TO	
56	57	FLOWS_TO	
57	58	FLOWS_TO	
58	59	FLOWS_TO	
59	60	FLOWS_TO	
60	78	FLOWS_TO	
29	79	USE	
34	79	USE	
29	80	USE	
40	80	USE	
18	81	DEF	
19	81	DEF	
22	81	DEF	
25	81	DEF	
26	81	DEF	
25	81	USE	
26	81	USE	
74	82	DEF	
6	82	USE	
11	82	USE	
29	82	USE	
41	82	USE	
36	82	USE	
60	82	USE	
67	82	USE	
60	83	USE	
69	83	USE	
29	84	USE	
40	84	USE	
6	85	USE	
29	86	USE	
38	86	USE	
18	25	REACHES	dwk_xfg_guard_1
74	6	REACHES	regs
74	29	REACHES	regs
74	60	REACHES	regs
77	74	CONTROLS	
77	6	CONTROLS	
6	15	CONTROLS	
6	29	CONTROLS	
6	44	CONTROLS	
6	45	CONTROLS	
6	46	CONTROLS	
6	47	CONTROLS	
6	48	CONTROLS	
6	49	CONTROLS	
6	50	CONTROLS	
6	51	CONTROLS	
6	52	CONTROLS	
6	53	CONTROLS	
6	54	CONTROLS	
6	55	CONTROLS	
6	56	CONTROLS	
6	57	CONTROLS	
6	58	CONTROLS	
6	59	CONTROLS	
6	60	CONTROLS	
15	18	CONTROLS	
15	25	CONTROLS	
6	78	DOM	
56	57	DOM	
6	45	DOM	
47	48	DOM	
77	74	DOM	
50	51	DOM	
6	15	DOM	
46	47	DOM	
55	56	DOM	
48	49	DOM	
77	77	DOM	
18	25	DOM	
54	55	DOM	
57	58	DOM	
51	52	DOM	
52	53	DOM	
59	60	DOM	
15	29	DOM	
29	44	DOM	
15	18	DOM	
58	59	DOM	
45	46	DOM	
49	50	DOM	
53	54	DOM	
74	6	DOM	
78	78	POST_DOM	
58	57	POST_DOM	
49	48	POST_DOM	
46	45	POST_DOM	
6	74	POST_DOM	
52	51	POST_DOM	
29	15	POST_DOM	
57	56	POST_DOM	
48	47	POST_DOM	
50	49	POST_DOM	
74	77	POST_DOM	
29	25	POST_DOM	
56	55	POST_DOM	
59	58	POST_DOM	
53	52	POST_DOM	
54	53	POST_DOM	
78	60	POST_DOM	
44	29	POST_DOM	
78	44	POST_DOM	
25	18	POST_DOM	
60	59	POST_DOM	
47	46	POST_DOM	
51	50	POST_DOM	
55	54	POST_DOM	
78	6	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	77	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
