command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260804_085143_code_all_input_sources/runs/perturbed/cvefixes__06_vulnerable_altivec_unavailable_exception__control_wrapper__c1/_work/source/cvefixes__06_vulnerable_altivec_unavailable_exception__control_wrapper__c1.c								
ANR	2	Function	altivec_unavailable_exception	1:0:0:493							
ANR	3	FunctionDef	altivec_unavailable_exception (struct pt_regs * regs)		2	0					
ANR	4	CompoundStatement		2:0:57:493	2	0					
ANR	5	IfStatement	if ( user_mode ( regs ) )		2	0					
ANR	6	Condition	user_mode ( regs )	4:5:93:107	2	0	True				
ANR	7	CallExpression	user_mode ( regs )		2	0					
ANR	8	Callee	user_mode		2	0					
ANR	9	Identifier	user_mode		2	0					
ANR	10	ArgumentList	regs		2	1					
ANR	11	Argument	regs		2	0					
ANR	12	Identifier	regs		2	0					
ANR	13	CompoundStatement		3:22:52:52	2	1					
ANR	14	IfStatement	if ( 1 )		2	0					
ANR	15	Condition	1	7:6:224:224	2	0	True				
ANR	16	PrimaryExpression	1		2	0					
ANR	17	CompoundStatement		6:9:169:169	2	1					
ANR	18	ExpressionStatement	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"	8:6:235:282	2	0	True				
ANR	19	CallExpression	"_exception ( SIGILL , regs , ILL_ILLOPC , regs -> nip )"		2	0					
ANR	20	Callee	_exception		2	0					
ANR	21	Identifier	_exception		2	0					
ANR	22	ArgumentList	SIGILL		2	1					
ANR	23	Argument	SIGILL		2	0					
ANR	24	Identifier	SIGILL		2	0					
ANR	25	Argument	regs		2	1					
ANR	26	Identifier	regs		2	0					
ANR	27	Argument	ILL_ILLOPC		2	2					
ANR	28	Identifier	ILL_ILLOPC		2	0					
ANR	29	Argument	regs -> nip		2	3					
ANR	30	PtrMemberAccess	regs -> nip		2	0					
ANR	31	Identifier	regs		2	0					
ANR	32	Identifier	nip		2	1					
ANR	33	ReturnStatement	return ;	10:2:290:296	2	1	True				
ANR	34	Statement	printk	13:1:309:314	2	1	True				
ANR	35	Statement	(	13:7:315:315	2	2	True				
ANR	36	Statement	KERN_EMERG	13:8:316:325	2	3	True				
ANR	37	Statement	"""Unrecoverable VMX/Altivec Unavailable Exception """	13:19:327:376	2	4	True				
ANR	38	Statement	"""%lx at %lx\\n"""	14:3:381:394	2	5	True				
ANR	39	Statement	","	14:17:395:395	2	6	True				
ANR	40	Statement	regs	14:19:397:400	2	7	True				
ANR	41	Statement	->	14:23:401:402	2	8	True				
ANR	42	Statement	trap	14:25:403:406	2	9	True				
ANR	43	Statement	","	14:29:407:407	2	10	True				
ANR	44	Statement	regs	14:31:409:412	2	11	True				
ANR	45	Statement	->	14:35:413:414	2	12	True				
ANR	46	Statement	nip	14:37:415:417	2	13	True				
ANR	47	Statement	)	14:40:418:418	2	14	True				
ANR	48	ExpressionStatement		14:41:419:419	2	15	True				
ANR	49	ExpressionStatement	"die ( ""Unrecoverable VMX/Altivec Unavailable Exception"" , regs , SIGABRT )"	15:1:422:491	2	16	True				
ANR	50	CallExpression	"die ( ""Unrecoverable VMX/Altivec Unavailable Exception"" , regs , SIGABRT )"		2	0					
ANR	51	Callee	die		2	0					
ANR	52	Identifier	die		2	0					
ANR	53	ArgumentList	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	1					
ANR	54	Argument	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	0					
ANR	55	PrimaryExpression	"""Unrecoverable VMX/Altivec Unavailable Exception"""		2	0					
ANR	56	Argument	regs		2	1					
ANR	57	Identifier	regs		2	0					
ANR	58	Argument	SIGABRT		2	2					
ANR	59	Identifier	SIGABRT		2	0					
ANR	60	ReturnType	void		2	1					
ANR	61	Identifier	altivec_unavailable_exception		2	2					
ANR	62	ParameterList	struct pt_regs * regs		2	3					
ANR	63	Parameter	struct pt_regs * regs	1:35:35:54	2	0	True				
ANR	64	ParameterType	struct pt_regs *		2	0					
ANR	65	Identifier	regs		2	1					
ANR	66	CFGEntryNode	ENTRY		2		True				
ANR	67	CFGExitNode	EXIT		2		True				
ANR	68	Symbol	SIGILL		2						
ANR	69	Symbol	* regs		2						
ANR	70	Symbol	regs		2						
ANR	71	Symbol	SIGABRT		2						
ANR	72	Symbol	regs -> nip		2						
ANR	73	Symbol	user_mode		2						
ANR	74	Symbol	ILL_ILLOPC		2						
