start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
21	22	IS_AST_PARENT	
18	21	IS_AST_PARENT	
15	18	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
24	27	IS_AST_PARENT	
23	24	IS_AST_PARENT	
4	23	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
34	35	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
34	36	IS_AST_PARENT	
31	34	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
4	39	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	46	IS_AST_PARENT	
43	44	IS_AST_PARENT	
4	43	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
47	48	IS_AST_PARENT	
4	47	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
52	55	IS_AST_PARENT	
51	52	IS_AST_PARENT	
4	51	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
56	57	IS_AST_PARENT	
4	56	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
64	65	IS_AST_PARENT	
64	66	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
4	60	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
67	68	IS_AST_PARENT	
4	67	IS_AST_PARENT	
73	74	IS_AST_PARENT	
73	75	IS_AST_PARENT	
72	73	IS_AST_PARENT	
71	72	IS_AST_PARENT	
79	80	IS_AST_PARENT	
78	79	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
82	83	IS_AST_PARENT	
81	82	IS_AST_PARENT	
78	81	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
90	91	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	94	IS_AST_PARENT	
90	92	IS_AST_PARENT	
89	90	IS_AST_PARENT	
95	96	IS_AST_PARENT	
97	98	IS_AST_PARENT	
97	99	IS_AST_PARENT	
95	97	IS_AST_PARENT	
89	95	IS_AST_PARENT	
88	89	IS_AST_PARENT	
88	100	IS_AST_PARENT	
87	88	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	101	IS_AST_PARENT	
76	86	IS_AST_PARENT	
103	104	IS_AST_PARENT	
103	105	IS_AST_PARENT	
102	103	IS_AST_PARENT	
76	102	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	109	IS_AST_PARENT	
106	107	IS_AST_PARENT	
76	106	IS_AST_PARENT	
113	114	IS_AST_PARENT	
113	115	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	116	IS_AST_PARENT	
111	112	IS_AST_PARENT	
110	111	IS_AST_PARENT	
119	120	IS_AST_PARENT	
119	121	IS_AST_PARENT	
122	123	IS_AST_PARENT	
122	124	IS_AST_PARENT	
119	122	IS_AST_PARENT	
118	119	IS_AST_PARENT	
117	118	IS_AST_PARENT	
126	127	IS_AST_PARENT	
126	128	IS_AST_PARENT	
129	130	IS_AST_PARENT	
129	131	IS_AST_PARENT	
126	129	IS_AST_PARENT	
125	126	IS_AST_PARENT	
117	125	IS_AST_PARENT	
133	134	IS_AST_PARENT	
133	135	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	138	IS_AST_PARENT	
133	136	IS_AST_PARENT	
132	133	IS_AST_PARENT	
117	132	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	142	IS_AST_PARENT	
139	140	IS_AST_PARENT	
117	139	IS_AST_PARENT	
147	148	IS_AST_PARENT	
147	149	IS_AST_PARENT	
146	147	IS_AST_PARENT	
146	150	IS_AST_PARENT	
145	146	IS_AST_PARENT	
152	153	IS_AST_PARENT	
152	154	IS_AST_PARENT	
151	152	IS_AST_PARENT	
151	155	IS_AST_PARENT	
145	151	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
158	159	IS_AST_PARENT	
158	160	IS_AST_PARENT	
157	158	IS_AST_PARENT	
156	157	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	165	IS_AST_PARENT	
162	163	IS_AST_PARENT	
161	162	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	170	IS_AST_PARENT	
171	172	IS_AST_PARENT	
174	175	IS_AST_PARENT	
173	174	IS_AST_PARENT	
177	178	IS_AST_PARENT	
176	177	IS_AST_PARENT	
180	181	IS_AST_PARENT	
180	182	IS_AST_PARENT	
179	180	IS_AST_PARENT	
176	179	IS_AST_PARENT	
173	176	IS_AST_PARENT	
171	173	IS_AST_PARENT	
168	171	IS_AST_PARENT	
167	168	IS_AST_PARENT	
166	167	IS_AST_PARENT	
185	186	IS_AST_PARENT	
185	187	IS_AST_PARENT	
184	185	IS_AST_PARENT	
183	184	IS_AST_PARENT	
183	188	IS_AST_PARENT	
166	183	IS_AST_PARENT	
190	191	IS_AST_PARENT	
193	194	IS_AST_PARENT	
193	195	IS_AST_PARENT	
192	193	IS_AST_PARENT	
197	198	IS_AST_PARENT	
197	199	IS_AST_PARENT	
196	197	IS_AST_PARENT	
196	200	IS_AST_PARENT	
192	196	IS_AST_PARENT	
190	192	IS_AST_PARENT	
189	190	IS_AST_PARENT	
166	189	IS_AST_PARENT	
203	204	IS_AST_PARENT	
205	206	IS_AST_PARENT	
205	207	IS_AST_PARENT	
203	205	IS_AST_PARENT	
202	203	IS_AST_PARENT	
201	202	IS_AST_PARENT	
210	211	IS_AST_PARENT	
210	212	IS_AST_PARENT	
209	210	IS_AST_PARENT	
208	209	IS_AST_PARENT	
208	213	IS_AST_PARENT	
201	208	IS_AST_PARENT	
166	201	IS_AST_PARENT	
215	216	IS_AST_PARENT	
215	217	IS_AST_PARENT	
214	215	IS_AST_PARENT	
166	214	IS_AST_PARENT	
219	220	IS_AST_PARENT	
219	221	IS_AST_PARENT	
218	219	IS_AST_PARENT	
166	218	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	225	IS_AST_PARENT	
222	223	IS_AST_PARENT	
166	222	IS_AST_PARENT	
161	166	IS_AST_PARENT	
156	161	IS_AST_PARENT	
143	156	IS_AST_PARENT	
231	232	IS_AST_PARENT	
230	231	IS_AST_PARENT	
235	236	IS_AST_PARENT	
235	237	IS_AST_PARENT	
234	235	IS_AST_PARENT	
233	234	IS_AST_PARENT	
230	233	IS_AST_PARENT	
229	230	IS_AST_PARENT	
228	229	IS_AST_PARENT	
240	241	IS_AST_PARENT	
243	244	IS_AST_PARENT	
243	245	IS_AST_PARENT	
242	243	IS_AST_PARENT	
247	248	IS_AST_PARENT	
247	249	IS_AST_PARENT	
246	247	IS_AST_PARENT	
246	250	IS_AST_PARENT	
242	246	IS_AST_PARENT	
240	242	IS_AST_PARENT	
239	240	IS_AST_PARENT	
238	239	IS_AST_PARENT	
253	254	IS_AST_PARENT	
255	256	IS_AST_PARENT	
255	257	IS_AST_PARENT	
253	255	IS_AST_PARENT	
252	253	IS_AST_PARENT	
251	252	IS_AST_PARENT	
260	261	IS_AST_PARENT	
260	262	IS_AST_PARENT	
259	260	IS_AST_PARENT	
258	259	IS_AST_PARENT	
258	263	IS_AST_PARENT	
251	258	IS_AST_PARENT	
238	251	IS_AST_PARENT	
265	266	IS_AST_PARENT	
265	267	IS_AST_PARENT	
264	265	IS_AST_PARENT	
238	264	IS_AST_PARENT	
269	270	IS_AST_PARENT	
269	271	IS_AST_PARENT	
268	269	IS_AST_PARENT	
238	268	IS_AST_PARENT	
273	274	IS_AST_PARENT	
273	275	IS_AST_PARENT	
272	273	IS_AST_PARENT	
238	272	IS_AST_PARENT	
228	238	IS_AST_PARENT	
227	228	IS_AST_PARENT	
226	227	IS_AST_PARENT	
143	226	IS_AST_PARENT	
117	143	IS_AST_PARENT	
277	278	IS_AST_PARENT	
276	277	IS_AST_PARENT	
283	284	IS_AST_PARENT	
286	287	IS_AST_PARENT	
285	286	IS_AST_PARENT	
289	290	IS_AST_PARENT	
288	289	IS_AST_PARENT	
285	288	IS_AST_PARENT	
283	285	IS_AST_PARENT	
282	283	IS_AST_PARENT	
291	292	IS_AST_PARENT	
291	293	IS_AST_PARENT	
282	291	IS_AST_PARENT	
281	282	IS_AST_PARENT	
280	281	IS_AST_PARENT	
299	300	IS_AST_PARENT	
299	301	IS_AST_PARENT	
298	299	IS_AST_PARENT	
298	302	IS_AST_PARENT	
297	298	IS_AST_PARENT	
304	305	IS_AST_PARENT	
304	306	IS_AST_PARENT	
303	304	IS_AST_PARENT	
308	309	IS_AST_PARENT	
308	310	IS_AST_PARENT	
307	308	IS_AST_PARENT	
311	312	IS_AST_PARENT	
313	314	IS_AST_PARENT	
313	315	IS_AST_PARENT	
311	313	IS_AST_PARENT	
307	311	IS_AST_PARENT	
303	307	IS_AST_PARENT	
297	303	IS_AST_PARENT	
296	297	IS_AST_PARENT	
295	296	IS_AST_PARENT	
319	320	IS_AST_PARENT	
319	321	IS_AST_PARENT	
318	319	IS_AST_PARENT	
322	323	IS_AST_PARENT	
322	324	IS_AST_PARENT	
318	322	IS_AST_PARENT	
317	318	IS_AST_PARENT	
316	317	IS_AST_PARENT	
295	316	IS_AST_PARENT	
294	295	IS_AST_PARENT	
326	327	IS_AST_PARENT	
326	328	IS_AST_PARENT	
325	326	IS_AST_PARENT	
294	325	IS_AST_PARENT	
330	331	IS_AST_PARENT	
330	332	IS_AST_PARENT	
329	330	IS_AST_PARENT	
294	329	IS_AST_PARENT	
334	335	IS_AST_PARENT	
334	336	IS_AST_PARENT	
333	334	IS_AST_PARENT	
294	333	IS_AST_PARENT	
280	294	IS_AST_PARENT	
340	341	IS_AST_PARENT	
340	342	IS_AST_PARENT	
339	340	IS_AST_PARENT	
338	339	IS_AST_PARENT	
346	347	IS_AST_PARENT	
346	348	IS_AST_PARENT	
345	346	IS_AST_PARENT	
345	349	IS_AST_PARENT	
344	345	IS_AST_PARENT	
343	344	IS_AST_PARENT	
353	354	IS_AST_PARENT	
353	355	IS_AST_PARENT	
352	353	IS_AST_PARENT	
351	352	IS_AST_PARENT	
358	359	IS_AST_PARENT	
358	360	IS_AST_PARENT	
357	358	IS_AST_PARENT	
356	357	IS_AST_PARENT	
362	363	IS_AST_PARENT	
366	367	IS_AST_PARENT	
366	368	IS_AST_PARENT	
365	366	IS_AST_PARENT	
365	369	IS_AST_PARENT	
364	365	IS_AST_PARENT	
371	372	IS_AST_PARENT	
371	373	IS_AST_PARENT	
370	371	IS_AST_PARENT	
370	374	IS_AST_PARENT	
364	370	IS_AST_PARENT	
362	364	IS_AST_PARENT	
361	362	IS_AST_PARENT	
356	361	IS_AST_PARENT	
376	377	IS_AST_PARENT	
376	378	IS_AST_PARENT	
375	376	IS_AST_PARENT	
356	375	IS_AST_PARENT	
351	356	IS_AST_PARENT	
382	383	IS_AST_PARENT	
382	384	IS_AST_PARENT	
381	382	IS_AST_PARENT	
380	381	IS_AST_PARENT	
379	380	IS_AST_PARENT	
351	379	IS_AST_PARENT	
350	351	IS_AST_PARENT	
343	350	IS_AST_PARENT	
389	390	IS_AST_PARENT	
389	391	IS_AST_PARENT	
388	389	IS_AST_PARENT	
388	392	IS_AST_PARENT	
387	388	IS_AST_PARENT	
386	387	IS_AST_PARENT	
395	396	IS_AST_PARENT	
395	397	IS_AST_PARENT	
394	395	IS_AST_PARENT	
393	394	IS_AST_PARENT	
399	400	IS_AST_PARENT	
399	401	IS_AST_PARENT	
398	399	IS_AST_PARENT	
393	398	IS_AST_PARENT	
386	393	IS_AST_PARENT	
405	406	IS_AST_PARENT	
405	407	IS_AST_PARENT	
404	405	IS_AST_PARENT	
403	404	IS_AST_PARENT	
412	413	IS_AST_PARENT	
412	414	IS_AST_PARENT	
411	412	IS_AST_PARENT	
415	416	IS_AST_PARENT	
415	417	IS_AST_PARENT	
411	415	IS_AST_PARENT	
410	411	IS_AST_PARENT	
420	421	IS_AST_PARENT	
420	422	IS_AST_PARENT	
419	420	IS_AST_PARENT	
419	423	IS_AST_PARENT	
418	419	IS_AST_PARENT	
424	425	IS_AST_PARENT	
424	426	IS_AST_PARENT	
418	424	IS_AST_PARENT	
410	418	IS_AST_PARENT	
409	410	IS_AST_PARENT	
408	409	IS_AST_PARENT	
429	430	IS_AST_PARENT	
429	431	IS_AST_PARENT	
428	429	IS_AST_PARENT	
427	428	IS_AST_PARENT	
408	427	IS_AST_PARENT	
403	408	IS_AST_PARENT	
402	403	IS_AST_PARENT	
386	402	IS_AST_PARENT	
385	386	IS_AST_PARENT	
343	385	IS_AST_PARENT	
338	343	IS_AST_PARENT	
433	434	IS_AST_PARENT	
435	436	IS_AST_PARENT	
438	439	IS_AST_PARENT	
437	438	IS_AST_PARENT	
442	443	IS_AST_PARENT	
442	444	IS_AST_PARENT	
441	442	IS_AST_PARENT	
440	441	IS_AST_PARENT	
445	446	IS_AST_PARENT	
440	445	IS_AST_PARENT	
437	440	IS_AST_PARENT	
435	437	IS_AST_PARENT	
433	435	IS_AST_PARENT	
432	433	IS_AST_PARENT	
338	432	IS_AST_PARENT	
448	449	IS_AST_PARENT	
448	450	IS_AST_PARENT	
447	448	IS_AST_PARENT	
338	447	IS_AST_PARENT	
452	453	IS_AST_PARENT	
454	455	IS_AST_PARENT	
454	456	IS_AST_PARENT	
452	454	IS_AST_PARENT	
451	452	IS_AST_PARENT	
338	451	IS_AST_PARENT	
458	459	IS_AST_PARENT	
458	460	IS_AST_PARENT	
457	458	IS_AST_PARENT	
338	457	IS_AST_PARENT	
337	338	IS_AST_PARENT	
280	337	IS_AST_PARENT	
279	280	IS_AST_PARENT	
276	279	IS_AST_PARENT	
117	276	IS_AST_PARENT	
110	117	IS_AST_PARENT	
464	465	IS_AST_PARENT	
464	466	IS_AST_PARENT	
467	468	IS_AST_PARENT	
467	469	IS_AST_PARENT	
464	467	IS_AST_PARENT	
463	464	IS_AST_PARENT	
462	463	IS_AST_PARENT	
473	474	IS_AST_PARENT	
472	473	IS_AST_PARENT	
477	478	IS_AST_PARENT	
477	479	IS_AST_PARENT	
476	477	IS_AST_PARENT	
475	476	IS_AST_PARENT	
472	475	IS_AST_PARENT	
471	472	IS_AST_PARENT	
470	471	IS_AST_PARENT	
481	482	IS_AST_PARENT	
481	483	IS_AST_PARENT	
480	481	IS_AST_PARENT	
470	480	IS_AST_PARENT	
462	470	IS_AST_PARENT	
487	488	IS_AST_PARENT	
487	489	IS_AST_PARENT	
486	487	IS_AST_PARENT	
486	490	IS_AST_PARENT	
485	486	IS_AST_PARENT	
484	485	IS_AST_PARENT	
493	494	IS_AST_PARENT	
493	495	IS_AST_PARENT	
492	493	IS_AST_PARENT	
491	492	IS_AST_PARENT	
499	500	IS_AST_PARENT	
502	503	IS_AST_PARENT	
501	502	IS_AST_PARENT	
505	506	IS_AST_PARENT	
504	505	IS_AST_PARENT	
507	508	IS_AST_PARENT	
504	507	IS_AST_PARENT	
510	511	IS_AST_PARENT	
510	512	IS_AST_PARENT	
509	510	IS_AST_PARENT	
504	509	IS_AST_PARENT	
513	514	IS_AST_PARENT	
504	513	IS_AST_PARENT	
501	504	IS_AST_PARENT	
499	501	IS_AST_PARENT	
498	499	IS_AST_PARENT	
517	518	IS_AST_PARENT	
517	519	IS_AST_PARENT	
516	517	IS_AST_PARENT	
516	520	IS_AST_PARENT	
515	516	IS_AST_PARENT	
521	522	IS_AST_PARENT	
524	525	IS_AST_PARENT	
523	524	IS_AST_PARENT	
527	528	IS_AST_PARENT	
526	527	IS_AST_PARENT	
529	530	IS_AST_PARENT	
526	529	IS_AST_PARENT	
532	533	IS_AST_PARENT	
534	535	IS_AST_PARENT	
534	536	IS_AST_PARENT	
532	534	IS_AST_PARENT	
531	532	IS_AST_PARENT	
